ticket_id,origin_stop,destination_stop,origin_lat,origin_lon,dest_lat,dest_lon,timestamp
1,Stop E,Stop H,40.76875892934885,-73.91471275053657,40.7852229115063,-73.95001168818706,2023-01-01 00:00:00
2,Stop F,Stop K,40.70426159330597,-73.90440125419137,40.73363139605668,-73.97778905108284,2023-01-01 01:00:00
3,Stop A,Stop I,40.754923725913265,-73.90410006505773,40.79080293414023,-73.92698224198618,2023-01-01 02:00:00
4,Stop D,Stop H,40.764319877621695,-73.92936292025105,40.78506228325076,-73.93171118984478,2023-01-01 03:00:00
5,Stop D,Stop K,40.75704234105903,-73.97086554609912,40.76989247609023,-73.93693324551306,2023-01-01 04:00:00
6,Stop D,Stop H,40.72736775489293,-73.99620883317219,40.70213413833057,-73.91590066560795,2023-01-01 05:00:00
7,Stop B,Stop G,40.72208242841104,-73.96097695809168,40.769166559867244,-73.9153419826174,2023-01-01 06:00:00
8,Stop D,Stop I,40.71535825124612,-73.92668733916395,40.75618249437494,-73.97292641950618,2023-01-01 07:00:00
9,Stop F,Stop J,40.77598732409371,-73.90593613870061,40.72521832672198,-73.97791359326649,2023-01-01 08:00:00
10,Stop C,Stop J,40.77927183641102,-73.98864596375914,40.75768697858615,-73.93225273020316,2023-01-01 09:00:00
11,Stop E,Stop L,40.75503377317953,-73.94577580597704,40.784954379676186,-73.98906911154822,2023-01-01 10:00:00
12,Stop A,Stop J,40.753232562254944,-73.95252262821633,40.72106516242265,-73.97977536354557,2023-01-01 11:00:00
13,Stop A,Stop L,40.73611064779545,-73.99542716956675,40.73396483468348,-73.91100925573582,2023-01-01 12:00:00
14,Stop E,Stop K,40.707585009198084,-73.93493225798723,40.70883108219989,-73.93576086651768,2023-01-01 13:00:00
15,Stop C,Stop H,40.79840303014375,-73.91274203073579,40.77783739539659,-73.98035047030321,2023-01-01 14:00:00
16,Stop B,Stop I,40.78698480712136,-73.9538147393357,40.70993430721346,-73.93152832255473,2023-01-01 15:00:00
17,Stop A,Stop I,40.72054991265099,-73.94767342774232,40.79119904710948,-73.9813311596353,2023-01-01 16:00:00
18,Stop B,Stop L,40.742485263914475,-73.98222101309413,40.75108555601107,-73.93622495837398,2023-01-01 17:00:00
19,Stop F,Stop K,40.76525143464291,-73.98788815103353,40.72732522958716,-73.97830279753393,2023-01-01 18:00:00
20,Stop B,Stop I,40.75526458698852,-73.93861521565958,40.707002644755924,-73.92863552128483,2023-01-01 19:00:00
21,Stop F,Stop I,40.72512001165247,-73.92835898751393,40.78177907578326,-73.9017784792235,2023-01-01 20:00:00
22,Stop A,Stop H,40.73240523212034,-73.97124966271181,40.739228861690435,-73.95085002323967,2023-01-01 21:00:00
23,Stop B,Stop H,40.77881646123378,-73.95005494934726,40.78848291627803,-73.9338164690866,2023-01-01 22:00:00
24,Stop E,Stop L,40.716245073066986,-73.90419406120692,40.772055157547705,-73.90006852949567,2023-01-01 23:00:00
25,Stop D,Stop H,40.70815811038051,-73.99666764572989,40.7084154312032,-73.9598533825956,2023-01-02 00:00:00
26,Stop A,Stop K,40.75131847162982,-73.97641865835298,40.777212499280104,-73.9188596511995,2023-01-02 01:00:00
27,Stop D,Stop L,40.722132975161735,-73.98969467463233,40.7822630246182,-73.98977928678488,2023-01-02 02:00:00
28,Stop F,Stop K,40.723231649971154,-73.91780075674295,40.7100185111108,-73.99882634623532,2023-01-02 03:00:00
29,Stop A,Stop K,40.75259166399219,-73.90077565454078,40.767024837309556,-73.90342895397012,2023-01-02 04:00:00
30,Stop C,Stop I,40.74985335486943,-73.9840270993366,40.722098103438626,-73.93923284232034,2023-01-02 05:00:00
31,Stop D,Stop J,40.79279583638259,-73.92480990969193,40.73353517286135,-73.96302392725376,2023-01-02 06:00:00
32,Stop A,Stop I,40.75034492780124,-73.9712621025112,40.71404068467519,-73.95434086016314,2023-01-02 07:00:00
33,Stop B,Stop H,40.71963741446459,-73.967125534888,40.70437977641045,-73.98945028642795,2023-01-02 08:00:00
34,Stop D,Stop J,40.702707823144785,-73.90701519055261,40.785750646362736,-73.99715506620524,2023-01-02 09:00:00
35,Stop F,Stop G,40.708417808226706,-73.92874768627972,40.79328824379767,-73.92434288490745,2023-01-02 10:00:00
36,Stop D,Stop J,40.7419857648716,-73.91879254964127,40.77217725998902,-73.94641243179342,2023-01-02 11:00:00
37,Stop D,Stop H,40.75171213804274,-73.9545238562409,40.71643770110365,-73.91008881198672,2023-01-02 12:00:00
38,Stop A,Stop H,40.76464905900428,-73.96727373216899,40.70009129195409,-73.93883703427605,2023-01-02 13:00:00
39,Stop B,Stop H,40.74712067646836,-73.98616932536709,40.73634671516428,-73.95318234061499,2023-01-02 14:00:00
40,Stop B,Stop L,40.76581992463304,-73.93746218202453,40.75453139942249,-73.94036070214415,2023-01-02 15:00:00
41,Stop B,Stop H,40.700071695958364,-73.93201649263435,40.74169634544239,-73.93586670580007,2023-01-02 16:00:00
42,Stop A,Stop G,40.70147809259288,-73.90696025709077,40.76675590128316,-73.96625292372515,2023-01-02 17:00:00
43,Stop C,Stop L,40.780273365455336,-73.98748460618668,40.727836339305966,-73.93692713869174,2023-01-02 18:00:00
44,Stop E,Stop J,40.76137021284989,-73.92629395538486,40.72899526427393,-73.96606671183372,2023-01-02 19:00:00
45,Stop D,Stop G,40.775573798127695,-73.94534599836803,40.70060605334449,-73.90921755595278,2023-01-02 20:00:00
46,Stop D,Stop I,40.73784033699154,-73.95426698932299,40.76415172971858,-73.97773368791546,2023-01-02 21:00:00
47,Stop C,Stop J,40.76009336864596,-73.92470816200654,40.78459838734615,-73.97562570144039,2023-01-02 22:00:00
48,Stop E,Stop I,40.74691698482502,-73.93927244847669,40.79162430445213,-73.92598580789748,2023-01-02 23:00:00
49,Stop C,Stop I,40.772531622924866,-73.9897245556304,40.75871565138465,-73.92226016306404,2023-01-03 00:00:00
50,Stop A,Stop L,40.70976596531763,-73.95808436017494,40.71916531347183,-73.9485221954674,2023-01-03 01:00:00
51,Stop A,Stop I,40.71174915931276,-73.90043298063642,40.74103215061536,-73.9315292638373,2023-01-03 02:00:00
52,Stop E,Stop L,40.78132235460578,-73.92324447759117,40.73576843505547,-73.96648234779722,2023-01-03 03:00:00
53,Stop F,Stop H,40.71053725091161,-73.92374196218228,40.70572914796032,-73.97687165127367,2023-01-03 04:00:00
54,Stop F,Stop J,40.796451081549485,-73.90777938643593,40.70140826893032,-73.93575659648654,2023-01-03 05:00:00
55,Stop A,Stop K,40.771263946256234,-73.9270614531781,40.73105417191977,-73.94749113961292,2023-01-03 06:00:00
56,Stop E,Stop J,40.75239944796514,-73.91520153099405,40.77092994878327,-73.91082299221827,2023-01-03 07:00:00
57,Stop B,Stop H,40.788611801519714,-73.9598916585929,40.7650936501744,-73.95121993280442,2023-01-03 08:00:00
58,Stop E,Stop J,40.78633301180368,-73.95998553410463,40.77652645838667,-73.9891120155933,2023-01-03 09:00:00
59,Stop B,Stop L,40.777542685179405,-73.90429681745752,40.78752354231023,-73.92091587584474,2023-01-03 10:00:00
60,Stop C,Stop H,40.77972928642726,-73.92425063598647,40.794880926142284,-73.96297804681754,2023-01-03 11:00:00
61,Stop C,Stop J,40.77814905171094,-73.9528684547075,40.779812202385074,-73.97488013651763,2023-01-03 12:00:00
62,Stop A,Stop J,40.75697060419637,-73.95104033696569,40.70405681138919,-73.94597395910664,2023-01-03 13:00:00
63,Stop B,Stop L,40.77268510295069,-73.99834092475415,40.79685986108727,-73.98948980319224,2023-01-03 14:00:00
64,Stop B,Stop I,40.74571496244075,-73.97702664110079,40.73147277988215,-73.99469426422289,2023-01-03 15:00:00
65,Stop B,Stop G,40.78022157776109,-73.95286978119026,40.78837968213329,-73.93818682769516,2023-01-03 16:00:00
66,Stop B,Stop J,40.774353122075944,-73.97062012605474,40.713441253112634,-73.99615454890454,2023-01-03 17:00:00
67,Stop D,Stop K,40.786629158076856,-73.90181839140361,40.765569430041,-73.93966944468903,2023-01-03 18:00:00
68,Stop D,Stop G,40.7927489795415,-73.98844777796829,40.73212647337412,-73.97408805748337,2023-01-03 19:00:00
69,Stop C,Stop K,40.701363774773576,-73.94944420030089,40.77940903421821,-73.90345060266529,2023-01-03 20:00:00
70,Stop D,Stop L,40.748042142555015,-73.99900874009971,40.71285408341675,-73.94850240801507,2023-01-03 21:00:00
71,Stop A,Stop J,40.791715196724454,-73.9727481612733,40.75079458456795,-73.92261276850073,2023-01-03 22:00:00
72,Stop D,Stop H,40.71699349858004,-73.97755691325428,40.798205887933086,-73.95597171879267,2023-01-03 23:00:00
73,Stop F,Stop L,40.703922230027764,-73.93949106748067,40.772562453755874,-73.90593831123596,2023-01-04 00:00:00
74,Stop E,Stop J,40.74301456203559,-73.91127810543908,40.71270953477226,-73.9979409521428,2023-01-04 01:00:00
75,Stop B,Stop I,40.743125332478044,-73.94335565028071,40.7658217278974,-73.90979316532004,2023-01-04 02:00:00
76,Stop C,Stop H,40.75311951227665,-73.93558974553505,40.76713966767634,-73.98991237348345,2023-01-04 03:00:00
77,Stop E,Stop K,40.747064735397736,-73.97200766178831,40.78257813354824,-73.99745239964106,2023-01-04 04:00:00
78,Stop D,Stop J,40.76979938197549,-73.96911335112033,40.72967318079388,-73.91629206300026,2023-01-04 05:00:00
79,Stop E,Stop L,40.754182239878816,-73.95009947572105,40.71468203251907,-73.94877795460076,2023-01-04 06:00:00
